Date,Open,High,Low,Close,Volume,Normalized_Open,Normalized_High,Normalized_Low,Normalized_Close,Normalized_Volume,Target price,Diff_Target_AND_Close_Percent,Label
21-08-00,1491.719971,1502.839966,1491.130005,1499.47998,731600000,-4.349975,3.369995,2.140015,7.760009,-89800000,1498.130005,-0.090029545,1
22-08-00,1499.47998,1508.449951,1497.420044,1498.130005,818800000,7.760009,5.609985,6.290039,-1.349975,87200000,1505.969971,0.5233168,2
23-08-00,1498.130005,1507.199951,1489.52002,1505.969971,871000000,-1.349975,-1.25,-7.900024,7.839966,52200000,1508.310059,0.155387428,2
24-08-00,1505.969971,1511.160034,1501.25,1508.310059,837100000,7.839966,3.960083,11.72998,2.340088,-33900000,1506.449951,-0.12332398,1
25-08-00,1508.310059,1513.469971,1505.089966,1506.449951,685600000,2.340088,2.309937,3.839966,-1.860108,-151500000,1514.089966,0.507153589,2
28-08-00,1506.449951,1523.949951,1506.449951,1514.089966,733600000,-1.860108,10.47998,1.359985,7.640015,48000000,1509.839966,-0.280696662,1
29-08-00,1514.089966,1514.810059,1505.459961,1509.839966,795600000,7.640015,-9.139892,-0.98999,-4.25,62000000,1502.589966,-0.480183341,1
30-08-00,1509.839966,1510.48999,1500.089966,1502.589966,818400000,-4.25,-4.320069,-5.369995,-7.25,22800000,1517.680054,1.004271847,3
31-08-00,1502.589966,1525.209961,1502.589966,1517.680054,1056600000,-7.25,14.719971,2.5,15.090088,238200000,1520.77002,0.203597984,2
1/9/2000,1517.680054,1530.089966,1515.530029,1520.77002,767700000,15.090088,4.880005,12.940063,3.089966,-288900000,1507.079956,-0.900206068,1
5/9/2000,1520.77002,1520.77002,1504.209961,1507.079956,838500000,3.089966,-9.319946,-11.320068,-13.690064,70800000,1492.25,-0.984019192,1
6/9/2000,1507.079956,1512.609985,1492.119995,1492.25,995100000,-13.690064,-8.160035,-12.089966,-14.829956,156600000,1502.51001,0.687553024,2
7/9/2000,1492.25,1505.339966,1492.25,1502.51001,985500000,-14.829956,-7.270019,0.130005,10.26001,-9600000,1494.5,-0.533108595,1
8/9/2000,1502.51001,1502.51001,1489.880005,1494.5,961000000,10.26001,-2.829956,-2.369995,-8.01001,-24500000,1489.26001,-0.350618267,1
11/9/2000,1494.5,1506.76001,1483.01001,1489.26001,899300000,-8.01001,4.25,-6.869995,-5.23999,-61700000,1481.98999,-0.488163246,1
12/9/2000,1489.26001,1496.930054,1479.670044,1481.98999,991200000,-5.23999,-9.829956,-3.339966,-7.27002,91900000,1484.910034,0.197035339,2
13-09-00,1481.98999,1487.449951,1473.609985,1484.910034,1068300000,-7.27002,-9.480103,-6.060059,2.920044,77100000,1480.869995,-0.272072981,1
14-09-00,1484.910034,1494.160034,1476.72998,1480.869995,1014000000,2.920044,6.710083,3.119995,-4.040039,-54300000,1465.810059,-1.016965436,0
